Nofence ID,ID,Type dyr,Tid,Aktivitet ,Kommentar ,,,,,
37368,3668,Rosa egenkalv,2020-08-24 07:43:46',Beiter start,"Har gått bort ved trær. Langt unna, ser ikke så godt ",,,,,
37368,3668,Rosa egenkalv,2020-08-24 07:43:52',Beiter slutt,"07:44:00 går ned mellom trærne, ser ikke, ser kalven igjen fra ca. 07:45:40",,,,,
37368,3668,Rosa egenkalv,2020-08-24 07:46:12',Beiter start ,"Ser ikke så godt hele tiden blant trærne, men går og beiter litt, ser bedre fra 07:48:02. beiter litt blader inni mellom. Bak trær fra 07:59:47, ser ikke.",,,,,
37368,3668,Rosa egenkalv,2020-08-24 08:17:26',VIDEO SLUTT,Beiter fortsatt når video er ferdig… ,,,,,
37368,3668,Rosa egenkalv,2020-08-24 10:51:54',VIDEO START,,,,,,
37368,3668,Rosa egenkalv,2020-08-24 10:51:54',Beiter start,"Beiter ved start, vet ikke når starta å beite.. Ser ikke så godt pga høye planter rundt.. Ser bedre fra 10:54:32, ser dårlig inni mellom senere og (høye planter og trær), men går nok og beiter.. Kommer ut på lavere gress 11:10:35",,,,,
37368,3668,Rosa egenkalv,2020-08-24 11:26:29',Beiter slutt,,,,,,
37368,3668,Rosa egenkalv,2020-08-24 11:27:07',Dier start,"Dier rosa ku, tida burde vært lik som i video av rosa ku, men er noen sekunder forskjell (vet ikke hvorfor)…",,,,,
37368,3668,Rosa egenkalv,2020-08-24 11:37:18',Dier slutt,,,,,,
37368,3668,Rosa egenkalv,2020-08-24 11:37:25',Beiter start,,,,,,
37368,3668,Rosa egenkalv,2020-08-24 11:38:06',Beiter slutt,,,,,,
37368,3668,Rosa egenkalv,2020-08-24 11:38:12',Legger seg,,,,,,
37368,3668,Rosa egenkalv,2020-08-24 11:46:55',Reiser seg ,,,,,,
37368,3668,Rosa egenkalv,2020-08-24 11:47:01',Dier start,,,,,,
37368,3668,Rosa egenkalv,2020-08-24 11:47:14',Dier slutt,11:47:23 går mot Christopher,,,,,
37368,3668,Rosa egenkalv,2020-08-24 11:47:39',VIDEO SLUTT,"Rosa kalv og ku ute av syne, Steffen filmer litt mer men ikke rosa kalv",,,,,
ny klave,1512,Rosa ku,2020-08-24 06:45:44',VIDEO START,,,,,,
ny klave,1512,Rosa ku,2020-08-24 06:45:44',Beiter start,"Beiter når video starter, vet ikke når hun starta å beite",,,,,
ny klave,1512,Rosa ku,2020-08-24 06:52:55',Beiter slutt,Går bortover,,,,,
ny klave,1512,Rosa ku,2020-08-24 06:54:18',Beiter start,,,,,,
ny klave,1512,Rosa ku,2020-08-24 07:41:02',Beter slutt,Går bortover,,,,,
ny klave,1512,Rosa ku,2020-08-24 07:41:32',Beiter start,Blader på tre,,,,,
ny klave,1512,Rosa ku,2020-08-24 07:44:34',Beiter slutt,"Beveger seg blant trær, drikker litt fra bakken",,,,,
ny klave,1512,Rosa ku,2020-08-24 07:45:21',Beiter start,"Blader på tre, drikker litt mer, beiter så gras",,,,,
ny klave,1512,Rosa ku,2020-08-24 07:45:43',Beiter slutt,Drikker mer,,,,,
ny klave,1512,Rosa ku,2020-08-24 07:46:30',Beiter start,"Blader på tre, så gras, så mer blader",,,,,
ny klave,1512,Rosa ku,2020-08-24 07:47:35',Beiter slutt,Drikker igjen,,,,,
ny klave,1512,Rosa ku,2020-08-24 07:49:36',Beiter start,"Bytter på å spise blader fra trær, spise fra bakken, mens hun beveger seg bortover blant trærne, 08:08:30 er helt ute fra trærne og beiter nå kun fra bakken ",,,,,
ny klave,1512,Rosa ku,2020-08-24 08:13:01',Beiter slutt,Går bortover ,,,,,
ny klave,1512,Rosa ku,2020-08-24 08:13:38',Beiter start,,,,,,
ny klave,1512,Rosa ku,2020-08-24 08:31:25',Beiter slutt,,,,,,
